question,option a,option b,option c,option d,correct,topic,,,,
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,b,Science & Tech,,,,
What does CPU stand for in computers?,Central Processing Unit,Computer Personal Unit,Central Print Unit,Control Processing Unit,a,Science & Tech,,,,
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,a,Science & Tech,,,,
What is the main gas found in the Earth's atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,b,Science & Tech,,,,
What does HTTP stand for?,HyperText Transfer Protocol,High Transfer Text Protocol,HyperText Transmission Protocol,HighText Transfer Protocol,a,Science & Tech,,,,
Who is known as the father of computers?,Charles Babbage,Alan Turing,Tim Berners-Lee,Bill Gates,a,Science & Tech,,,,
Which element has the atomic number 1?,Hydrogen,Helium,Oxygen,Carbon,a,Science & Tech,,,,
What is the speed of light?,300,000 km/s,150,000 km/s,1,000 km/s,299,792 km/s,d,Science & Tech
Which device is used to measure temperature?,Thermometer,Barometer,Hygrometer,Thermostat,a,Science & Tech,,,,
What does DNA stand for?,Deoxyribonucleic Acid,Ribonucleic Acid,Dinucleic Acid,Deoxynucleic Acid,a,Science & Tech,,,,
Which planet has the most moons?,Jupiter,Saturn,Mars,Earth,a,Science & Tech,,,,
What is the basic unit of life?,Cell,Atom,Molecule,Organ,a,Science & Tech,,,,
What programming language is known for its snake logo?,Python,Java,C++,Ruby,a,Science & Tech,,,,
Which technology is used to make telephone calls over the Internet?,VoIP,VPN,ISP,HTML,a,Science & Tech,,,,
What does RAM stand for in computers?,Random Access Memory,Read Access Memory,Run Access Memory,Read And Memory,a,Science & Tech,,,,
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Michael Faraday,a,Science & Tech,,,,
What is the powerhouse of the cell?,Mitochondria,Nucleus,Ribosome,Chloroplast,a,Science & Tech,,,,
Which element is used in pencils?,Graphite,Carbon,Lead,Silicon,a,Science & Tech,,,,
What kind of waves are used in mobile phones?,Radio waves,Sound waves,Light waves,Microwaves,a,Science & Tech,,,,
Which programming language is primarily used for web development?,JavaScript,Python,C++,Java,a,Science & Tech,,,,
What does USB stand for?,Universal Serial Bus,Unified System Block,Universal Service Bus,Unified Serial Bus,a,Science & Tech,,,,
Which planet is closest to the sun?,Mercury,Venus,Mars,Earth,a,Science & Tech,,,,
What is the term for animals that eat only plants?,Herbivores,Carnivores,Omnivores,Detritivores,a,Science & Tech,,,,
What part of the brain controls balance?,Cerebellum,Medulla,Frontal lobe,Hippocampus,a,Science & Tech,,,,
What is the main function of red blood cells?,Carry oxygen,Fight infections,Clot blood,Produce hormones,a,Science & Tech,,,,
Which scientist proposed the three laws of motion?,Isaac Newton,Albert Einstein,Galileo Galilei,Johannes Kepler,a,Science & Tech,,,,
What does LED stand for?,Light Emitting Diode,Light Energy Device,Laser Emitting Diode,Light Electrical Device,a,Science & Tech,,,,
What is the unit of electric current?,Ampere,Volt,Ohm,Watt,a,Science & Tech,,,,
Which gas is essential for respiration?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,a,Science & Tech,,,,
Which technology is used to create cryptocurrencies?,Blockchain,Artificial Intelligence,Cloud Computing,Virtual Reality,a,Science & Tech,,,,
What is the primary function of the roots of a plant?,Absorb water,Produce food,Support flowers,Produce seeds,a,Science & Tech,,,,
What does AI stand for?,Artificial Intelligence,Automated Interface,Applied Informatics,Automatic Input,a,Science & Tech,,,,
What is the name of the galaxy we live in?,Milky Way,Andromeda,Whirlpool,Sombrero,a,Science & Tech,,,,
Who is known as the father of the periodic table?,Dmitri Mendeleev,Marie Curie,Isaac Newton,Albert Einstein,a,Science & Tech,,,,
Which device is used to look at stars?,Telescope,Microscope,Periscope,Stethoscope,a,Science & Tech,,,,
What is the freezing point of water in Celsius?,0 degrees,32 degrees,-273 degrees,100 degrees,a,Science & Tech,,,,
Which planet is known for its rings?,Saturn,Jupiter,Neptune,Uranus,a,Science & Tech,,,,
What does GPU stand for?,Graphics Processing Unit,General Processing Unit,Graphical Performance Unit,Graphics Programming Unit,a,Science & Tech,,,,
What is the smallest unit of matter?,Atom,Molecule,Electron,Proton,a,Science & Tech,,,,
Which scientist developed the theory of evolution?,Charles Darwin,Isaac Newton,Albert Einstein,Gregor Mendel,a,Science & Tech,,,,
What does Wi-Fi stand for?,Wireless Fidelity,Wide Fidelity,Wireless Fiber,Wide Fiber,a,Science & Tech,,,,
What is the main gas causing global warming?,Carbon Dioxide,Methane,Oxygen,Nitrogen,a,Science & Tech,,,,
Which organ is responsible for pumping blood?,Heart,Lungs,Brain,Liver,a,Science & Tech,,,,
What kind of energy does the sun produce?,Solar energy,Nuclear energy,Wind energy,Hydro energy,a,Science & Tech,,,,
What is the name of the first artificial Earth satellite?,Sputnik 1,Apollo 11,Hubble,Voyager 1,a,Science & Tech,,,,
Who invented the light bulb?,Thomas Edison,Nikola Tesla,Alexander Graham Bell,Benjamin Franklin,a,Science & Tech,,,,
What does URL stand for?,Uniform Resource Locator,Universal Resource Link,Uniform Reference Locator,United Resource Link,a,Science & Tech,,,,
What programming language was developed by Guido van Rossum?,Python,Java,C#,Ruby,a,Science & Tech,,,,
"Which planet is known as the ""Earth’s Twin""?",Venus,Mars,Jupiter,Saturn,a,Science & Tech,,,,
,,,,,,,,,,
What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,c,General Knowledge,,,,
Which planet is known as the Red Planet?,Mars,Venus,Jupiter,Saturn,a,General Knowledge,,,,
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,a,General Knowledge,,,,
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,d,General Knowledge,,,,
Which country hosted the 2016 Summer Olympics?,China,Brazil,Russia,UK,b,General Knowledge,,,,
What is the tallest mountain in the world?,K2,Mount Everest,Kangchenjunga,Lhotse,b,General Knowledge,,,,
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,a,General Knowledge,,,,
What is the currency of Japan?,Yen,Dollar,Euro,Pound,a,General Knowledge,,,,
Which element has the chemical symbol 'O'?,Gold,Oxygen,Silver,Iron,b,General Knowledge,,,,
What is the longest river in the world?,Amazon River,Nile River,Yangtze River,Mississippi River,b,General Knowledge,,,,
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,a,General Knowledge,,,,
Which is the smallest country in the world?,Monaco,Vatican City,San Marino,Liechtenstein,b,General Knowledge,,,,
What year did World War II end?,1945,1939,1918,1963,a,General Knowledge,,,,
Who was the first person to step on the Moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,a,General Knowledge,,,,
Which language has the most native speakers?,English,Mandarin Spanish,Hindi,b,General Knowledge,,,,,
What is the main ingredient in traditional Japanese sushi?,Rice,Chicken,Fish,Pork,a,General Knowledge,,,,
Which planet is closest to the sun?,Venus,Mercury,Mars,Earth,b,General Knowledge,,,,
What is the hardest natural substance on Earth?,Gold,Diamond,Iron,Silver,b,General Knowledge,,,,
Who is known as the Father of the Nation in India?,Jawaharlal Nehru,Mahatma Gandhi,Bhagat Singh,Subhas Chandra Bose,b,General Knowledge,,,,
What is the chemical formula for table salt?,NaCl,H2O,CO2,KCl,a,General Knowledge,,,,
Which country is famous for the Eiffel Tower?,Italy,Germany,France,Spain,c,General Knowledge,,,,
Which organ in the human body is responsible for pumping blood?,Liver,Brain,Heart,Lungs,c,General Knowledge,,,,
What is the smallest planet in our solar system?,Mars,Mercury,Venus,Pluto,b,General Knowledge,,,,
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,b,General Knowledge,,,,
What is the capital city of Canada?,Toronto,Vancouver,Ottawa,Montreal,c,General Knowledge,,,,
Which animal is known as the King of the Jungle?,Elephant,Lion,Tiger,Leopard,b,General Knowledge,,,,
What is the tallest building in the world?,Burj Khalifa,Eiffel Tower,Empire State Building,Shanghai Tower,a,General Knowledge,,,,
Which continent is the Sahara Desert located in?,Asia,Africa,Australia,South America,b,General Knowledge,,,,
"Who wrote the novel ""1984""?",George Orwell,Aldous Huxley,J.K. Rowling,Ernest Hemingway,a,General Knowledge,,,,
What is the boiling point of water at sea level in Celsius?,90,95,100,105,c,General Knowledge,,,,
Which country gifted the Statue of Liberty to the USA?,France,England,Spain,Germany,a,General Knowledge,,,,
Who is the founder of Microsoft?,Steve Jobs,Bill Gates,Mark Zuckerberg,Larry Page,b,General Knowledge,,,,
What is the largest mammal in the world?,Elephant,Blue Whale,Hippopotamus,Giraffe,b,General Knowledge,,,,
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,b,General Knowledge,,,,
What is the capital of South Korea?,Seoul,Busan,Incheon,Daegu,a,General Knowledge,,,,
Who invented the light bulb?,Nikola Tesla,Thomas Edison,Alexander Graham Bell,Benjamin Franklin,b,General Knowledge,,,,
Which country has the most population?,USA,India,China,Russia,c,General Knowledge,,,,
What is the primary language spoken in Brazil?,Spanish,Portuguese,French,English,b,General Knowledge,,,,
"Which sport is known as the ""king of sports""?",Basketball,Cricket,Soccer,Tennis,c,General Knowledge,,,,
What is the chemical symbol for gold?,Ag,Au,Fe,Cu,b,General Knowledge,,,,
Which planet is known for its rings?,Saturn,Jupiter,Uranus,Neptune,a,General Knowledge,,,,
Who is the current Secretary-General of the United Nations?,António Guterres,Ban Ki-moon,Kofi Annan,Boutros Boutros-Ghali,a,General Knowledge,,,,
What is the capital city of Egypt?,Cairo,Alexandria,Giza,Luxor,a,General Knowledge,,,,
Which country is the origin of the Olympic Games?,Italy,Greece,France,USA,b,General Knowledge,,,,
Who was the first female Prime Minister of the UK?,Theresa May,Angela Merkel,Indira Gandhi,Margaret Thatcher,d,General Knowledge,,,,
What is the largest desert in the world?,Sahara,Gobi,Antarctic Desert,Arabian Desert,c,General Knowledge,,,,
Which is the fastest land animal?,Cheetah,Lion,Leopard,Jaguar,a,General Knowledge,,,,
Who developed the theory of evolution by natural selection?,Isaac Newton,Charles Darwin,Albert Einstein,Gregor Mendel,b,General Knowledge,,,,
What is the national flower of Japan?,Rose,Cherry Blossom,Lotus,Tulip,b,General Knowledge,,,,
